iter	MAPE	RMSE
109	0.0577031453	2.76609384
110	0.05765739284	2.76547736
111	0.05753661418	2.765042658
112	0.05749612234	2.764836431
113	0.05746492303	2.764573188
114	0.0574305319	2.76435872
115	0.05738461759	2.763654048
116	0.05730297726	2.763239189
117	0.05723732798	2.762944537
118	0.05719216732	2.762686649
119	0.057162972	2.76208205
120	0.05713071206	2.761777699
121	0.05708293069	2.761507183
122	0.05705590185	2.761140165
123	0.05701272177	2.760907973
124	0.05696447503	2.760678944
125	0.05693011946	2.760481666
126	0.05688131103	2.760285202
127	0.05685906888	2.760027477
128	0.05683851519	2.759695604
129	0.05681084738	2.759532751
130	0.05680415474	2.758112078
131	0.056719231	2.75784647
132	0.05666879444	2.757600379
133	0.05664351572	2.75744292
134	0.05659993849	2.7572893
135	0.05656403301	2.756721874
136	0.05654340065	2.75651724
137	0.05653919504	2.756100504
138	0.05645502849	2.75582634
139	0.05640866286	2.755594857
140	0.05633028958	2.75530145
141	0.05628618122	2.755038905
142	0.05627258145	2.754816143
143	0.05625651116	2.754567421
144	0.05621141444	2.754358665
145	0.05619305369	2.754054223
146	0.05614490862	2.753860422
147	0.05609580212	2.753648861
148	0.05604758186	2.753477521
149	0.0560008114	2.753286421
150	0.05601912726	2.752444919
151	0.05599729477	2.752344846
152	0.05598732641	2.751332555
153	0.05595692486	2.751198907
154	0.05594237217	2.750851135
155	0.05590658241	2.750638064
156	0.05585535518	2.750440868
157	0.0558327222	2.749976363
158	0.05581291277	2.749568214
159	0.05580225391	2.749446016
160	0.05569979173	2.748887594
161	0.05567486906	2.748780811
162	0.05564280342	2.748592524
163	0.05563223173	2.748276858
164	0.05558878019	2.748138632
165	0.05555312322	2.747997895
166	0.05554364494	2.747916368
167	0.05550988956	2.747822632
168	0.05547994717	2.747582424
169	0.05547980762	2.747221232
170	0.0554557204	2.747117979
171	0.05545334449	2.746514121
172	0.05541524494	2.746331916
173	0.0553373735	2.745872307
174	0.05533000364	2.745169726
175	0.05531117746	2.744907071
176	0.0552602848	2.744730909
177	0.05523334726	2.744222683
178	0.05523059406	2.743642787
179	0.05520136159	2.743521022
180	0.05514024258	2.743328126
181	0.05510148445	2.743174664
182	0.05506928668	2.74305731
183	0.05499534064	2.742575068
184	0.05495948935	2.742438011
185	0.05493069799	2.742340179
186	0.05491603567	2.742248778
187	0.05489942659	2.741930371
188	0.05488307582	2.741218536
189	0.05487599254	2.741058126
190	0.05485179975	2.740963212
191	0.05482799482	2.740857245
192	0.05481156281	2.740770301
193	0.05477406761	2.740611808
194	0.05474950224	2.740500979
195	0.0546854422	2.740240228
196	0.05466897885	2.740146826
197	0.05465415941	2.740016408
198	0.05463724286	2.73975428
199	0.0546140504	2.739659369
