iter	MAPE	RMSE
0	0.130982025	3.586381375
1	0.1199942698	3.475760529
2	0.1127378742	3.401634854
3	0.1064295983	3.332245008
4	0.1013314045	3.284704832
5	0.09721867837	3.204627269
6	0.0936175714	3.171348564
7	0.09121866902	3.118037649
8	0.08861247637	3.093562699
9	0.08591676166	3.07070486
10	0.08417588887	3.032150952
11	0.08257186878	3.016140072
12	0.08093587145	2.98705917
13	0.07970968117	2.974888283
14	0.0784951911	2.964663979
15	0.07701360803	2.953840242
16	0.07573792729	2.936640681
17	0.07541411241	2.927666352
18	0.07468835716	2.917615594
19	0.07366230824	2.9116161
20	0.07311977707	2.906121476
21	0.07213386968	2.900351813
22	0.07168904204	2.895867061
23	0.07116238325	2.891166137
24	0.07088519396	2.885414299
25	0.06996443586	2.879708712
26	0.06954468589	2.876338306
27	0.06902398651	2.87372037
28	0.06864861591	2.867627748
29	0.06826015772	2.865041709
30	0.06785111371	2.861680704
31	0.0674799894	2.859432148
32	0.06732948286	2.857455733
33	0.06719586098	2.856223498
34	0.06677751112	2.853448195
35	0.06642491194	2.851736762
36	0.06628641407	2.85072873
37	0.06605373127	2.848517432
38	0.06589303802	2.847241187
39	0.06554415333	2.84471054
40	0.06527164658	2.843486009
41	0.06512720109	2.84262439
42	0.06488228904	2.841387462
43	0.06475443894	2.840441253
44	0.0645284485	2.835347672
45	0.06436939069	2.833687947
46	0.06416868908	2.832148839
47	0.06384963912	2.82573603
48	0.0636469182	2.822299232
49	0.06343597583	2.821368003
50	0.06323521208	2.820155539
51	0.06308326581	2.818803975
52	0.06306986398	2.816455344
53	0.06293485395	2.815531433
54	0.06281766247	2.814358369
55	0.06269436055	2.813261894
56	0.06255496367	2.810650567
57	0.06231540473	2.809601852
58	0.0621848268	2.807617745
59	0.06203247975	2.805566362
60	0.06192831039	2.804000546
61	0.06174348064	2.802998791
62	0.061651616	2.802411553
63	0.06150246969	2.801468556
64	0.06134368789	2.798258217
65	0.06110773217	2.797361033
66	0.06102920822	2.796261635
67	0.06082518828	2.795244873
68	0.06068253556	2.794373287
69	0.06059746286	2.79377623
70	0.06052318515	2.792966598
71	0.06038380077	2.792200252
72	0.06021473378	2.791466832
73	0.06013541979	2.790895892
74	0.06005428466	2.789786959
75	0.05993983033	2.78854238
76	0.05983283785	2.788010783
77	0.05978740198	2.787525864
78	0.05970414316	2.787117745
79	0.05964056193	2.786663517
80	0.0595621021	2.786275834
81	0.05951882367	2.78518281
82	0.05944367627	2.782632998
83	0.05933808926	2.781319664
84	0.05928110755	2.780693991
85	0.05923284732	2.779961658
86	0.05913250901	2.779297416
87	0.05892288751	2.778573142
88	0.05889622622	2.778073493
89	0.05881853832	2.77767384
90	0.05868645967	2.777267651
91	0.0586215665	2.776983682
92	0.05858690733	2.776422559
93	0.05858096647	2.775867793
94	0.05854809291	2.775139394
95	0.05848818361	2.77355791
96	0.05841321874	2.772672921
97	0.05832752663	2.772244533
98	0.05823103529	2.771865782
99	0.05820089376	2.771486672
100	0.05813029646	2.77122173
101	0.05807472426	2.770779583
102	0.05799799314	2.770453243
103	0.05794469973	2.770115593
104	0.05792963048	2.768143136
105	0.05790996671	2.767773065
106	0.05785845799	2.767448236
107	0.05781078648	2.766795497
108	0.05773623067	2.766446641
