Experiment,LearningRate,MaxDepth,Mean_QError,Std_QError,NumSeeds
1,0.05,4,2.163896359589949,0.13007569590281917,5
2,0.05,12,1.916871853996603,0.11056823826329037,5
3,0.2,4,1.942925104087416,0.14202622007025784,5
4,0.2,12,2.0705045622436975,0.14644100474181979,5
