Experiment,LearningRate,MaxDepth,TreeMethod,Subsample,Trial1_Error,Trial2_Error,Trial3_Error
1,0.05,4,exact,0.6,2.055745511588552,2.2536847148059955,2.182469901325628
2,0.05,8,approx,0.8,1.8512167710186207,2.005458099427108,1.883317879371055
3,0.05,12,hist,1.0,1.9018541972284693,2.025611209974922,1.9438864243775476
4,0.1,4,approx,1.0,1.9966221995708644,2.0726020523379334,2.022526693846622
5,0.1,8,hist,0.6,1.9810696835454387,2.074732304387887,1.914704017996946
6,0.1,12,exact,0.8,2.1674601094343764,2.3222671371342614,2.120206818843339
7,0.2,4,hist,0.8,1.925602866623369,1.8905207504497752,1.9996085340408776
8,0.2,8,exact,1.0,2.074282883930855,2.150894137964366,2.0260085728773665
9,0.2,12,approx,0.6,3.157378745256116,2.4333574176369934,2.099471436475521
